id,label,number_corners,perimeter_area_ratio
937,Pterocarya,6,0.021297567
431,Pterocarya,4,0.017625063
1408,Pterocarya,33,0.019921031
1310,Quercus,11,0.014929909
1584,Quercus,15,0.013445927
955,Quercus,8,0.013687497
759,Quercus,8,0.013122881
595,Quercus,9,0.013413985
1157,Quercus,15,0.014485814
134,Quercus,15,0.014084614
21,Quercus,7,0.014992093
1134,Quercus,16,0.01467784
260,Quercus,11,0.014505438
517,Quercus,8,0.010945606
206,Quercus,6,0.01260248
387,Quercus,6,0.012130371
478,Quercus,13,0.011347895
392,Quercus,6,0.010902846
142,Quercus,8,0.010961104
340,Quercus,5,0.011387155
204,Quercus,12,0.013477114
243,Quercus,8,0.0121199
1457,Quercus,8,0.012281258
508,Quercus,4,0.011416742
958,Quercus,11,0.011590892
1312,Quercus,12,0.011860745
861,Quercus,11,0.011778133
75,Quercus,19,0.012201978
728,Quercus,16,0.012485639
1374,Quercus,11,0.011724605
849,Quercus,21,0.012353751
133,Quercus,13,0.011913008
1449,Quercus,18,0.01235496
1507,Quercus,26,0.016031685
452,Quercus,17,0.015266382
642,Quercus,18,0.014524843
14,Quercus,14,0.01533078
1205,Quercus,21,0.015308793
999,Quercus,25,0.011643456
896,Quercus,21,0.01634116
494,Quercus,17,0.012546321
742,Quercus,15,0.012057299
1424,Quercus,17,0.016548876
179,Quercus,10,0.017243587
848,Quercus,14,0.014590086
1358,Quercus,9,0.015986775
948,Quercus,22,0.012729794
76,Quercus,24,0.013569999
596,Quercus,22,0.015074645
1095,Quercus,6,0.01273842
826,Quercus,11,0.013884538
139,Quercus,12,0.011404011
10,Quercus,12,0.013185504
1048,Quercus,3,0.011383779
492,Quercus,9,0.010531731
228,Quercus,10,0.011189042
1051,Quercus,17,0.011567635
863,Quercus,17,0.012262858
766,Quercus,11,0.010146201
825,Quercus,11,0.009300097
1037,Quercus,14,0.016610829
1508,Quercus,15,0.010042159
815,Quercus,16,0.012555464
901,Quercus,13,0.017629022
1283,Quercus,14,0.021407959
667,Quercus,9,0.016163441
165,Quercus,11,0.018466568
1554,Quercus,11,0.01665767
548,Quercus,9,0.020951802
240,Quercus,15,0.021522525
1220,Quercus,12,0.018348972
1502,Quercus,12,0.018120235
897,Quercus,14,0.020499616
1291,Quercus,2,0.012867633
283,Quercus,4,0.012732608
1479,Quercus,4,0.012652064
458,Quercus,1,0.012551346
168,Quercus,2,0.013369716
821,Quercus,1,0.01259645
923,Quercus,2,0.012556095
326,Quercus,3,0.01230638
1061,Quercus,3,0.012568036
675,Quercus,1,0.012623616
1390,Quercus,4,0.022803897
1145,Quercus,5,0.022613711
69,Quercus,4,0.03218633
87,Quercus,3,0.024322287
1257,Quercus,5,0.028448898
632,Quercus,6,0.024410592
22,Quercus,5,0.025917448
1083,Quercus,5,0.025040583
840,Quercus,5,0.02426291
1027,Quercus,4,0.022265115
163,Quercus,15,0.024456006
605,Quercus,10,0.020975087
1007,Quercus,10,0.022346284
1530,Quercus,15,0.020288535
576,Quercus,10,0.02259171
510,Quercus,9,0.024199121
469,Quercus,9,0.024744176
841,Quercus,12,0.02136356
1539,Quercus,9,0.024923587
189,Quercus,14,0.0233251
129,Quercus,9,0.01284214
1142,Quercus,9,0.012196328
257,Quercus,10,0.012822852
768,Quercus,8,0.012837088
1072,Quercus,7,0.012049567
426,Quercus,6,0.011225963
755,Quercus,7,0.01176757
63,Quercus,6,0.014634369
369,Quercus,9,0.012267282
382,Quercus,9,0.012160066
581,Quercus,3,0.025244017
706,Quercus,2,0.024772994
1110,Quercus,3,0.022460938
1167,Quercus,4,0.021031131
816,Quercus,2,0.023191529
309,Quercus,4,0.026045639
270,Quercus,3,0.020608202
1275,Quercus,3,0.023064764
684,Quercus,3,0.02005813
330,Quercus,2,0.025569414
1292,Quercus,3,0.011712864
1123,Quercus,5,0.012187881
315,Quercus,4,0.012221631
101,Quercus,6,0.011936057
920,Quercus,4,0.011714412
1236,Quercus,3,0.011596626
215,Quercus,3,0.011862008
898,Quercus,3,0.011809884
899,Quercus,1,0.011648064
1101,Quercus,4,0.011745887
1281,Quercus,13,0.019699101
445,Quercus,8,0.015515183
767,Quercus,12,0.020294905
779,Quercus,13,0.019238191
938,Quercus,12,0.022267062
824,Quercus,10,0.026249281
1419,Quercus,9,0.017704547
344,Quercus,14,0.021261349
490,Quercus,16,0.020571031
564,Quercus,13,0.021719416
1480,Quercus,10,0.011733876
1327,Quercus,5,0.013221897
682,Quercus,5,0.014631194
1225,Quercus,12,0.014770868
654,Quercus,4,0.012610416
785,Quercus,8,0.013844544
82,Quercus,8,0.012809426
871,Quercus,6,0.012141558
1516,Quercus,7,0.011715641
1166,Quercus,3,0.013278075
275,Quercus,6,0.013759968
1171,Quercus,5,0.013056935
3,Quercus,5,0.013869678
628,Quercus,7,0.013421747
66,Quercus,4,0.013591333
1436,Quercus,6,0.013473418
1081,Quercus,10,0.0136903
801,Quercus,9,0.014108584
1130,Quercus,9,0.014169933
1366,Quercus,4,0.012810565
733,Quercus,2,0.020930372
618,Quercus,2,0.018310358
267,Quercus,2,0.02096994
539,Quercus,1,0.021089939
803,Quercus,2,0.019983377
35,Quercus,2,0.018972118
1348,Quercus,2,0.023756655
1006,Quercus,3,0.020770179
777,Quercus,2,0.022003331
1294,Quercus,2,0.026080561
497,Quercus,2,0.01011282
263,Quercus,2,0.010268907
1194,Quercus,1,0.009156059
812,Quercus,1,0.010738621
1365,Quercus,1,0.009063994
1282,Quercus,1,0.010806069
1380,Quercus,2,0.008495623
979,Quercus,2,0.009257439
435,Quercus,2,0.010933355
307,Quercus,2,0.010487726
1339,Quercus,6,0.016443765
879,Quercus,1,0.016606277
1244,Quercus,2,0.016278777
1329,Quercus,1,0.016466996
664,Quercus,2,0.014889503
1100,Quercus,4,0.01434835
1353,Quercus,1,0.018312592
918,Quercus,5,0.012027849
1253,Quercus,1,0.015652744
851,Quercus,4,0.014302149
202,Quercus,6,0.014293748
1168,Quercus,4,0.013549682
852,Quercus,12,0.01659234
487,Quercus,9,0.013409889
349,Quercus,12,0.015041939
1454,Quercus,6,0.014428084
67,Quercus,8,0.014583095
1529,Quercus,10,0.014987877
944,Quercus,9,0.01510919
989,Quercus,12,0.014075934
1459,Quercus,2,0.009943374
1388,Quercus,2,0.011656613
1180,Quercus,3,0.012489136
1559,Quercus,2,0.010803928
1571,Quercus,1,0.014885457
730,Quercus,2,0.009812571
485,Quercus,2,0.013566181
724,Quercus,2,0.008396666
693,Quercus,1,0.009276404
753,Quercus,1,0.011786942
130,Quercus,10,0.02582286
417,Quercus,13,0.023725181
1446,Quercus,16,0.023516273
1262,Quercus,11,0.028392808
329,Quercus,11,0.023582626
354,Quercus,12,0.024736858
1093,Quercus,16,0.027118439
1024,Quercus,16,0.025775705
262,Quercus,15,0.02508523
802,Quercus,13,0.034289968
1113,Quercus,3,0.014659566
1144,Quercus,2,0.014793192
1475,Quercus,1,0.014650599
1572,Quercus,2,0.0149497
1098,Quercus,2,0.01420228
1268,Quercus,3,0.014424537
1469,Quercus,4,0.014156819
796,Quercus,2,0.014592788
132,Quercus,2,0.01436548
127,Quercus,2,0.014042728
1326,Quercus,4,0.019443124
1491,Quercus,3,0.01666004
545,Quercus,6,0.019375175
43,Quercus,1,0.01801461
1494,Quercus,3,0.016801006
975,Quercus,5,0.016993152
911,Quercus,3,0.016928701
875,Quercus,4,0.018236812
40,Quercus,4,0.017289638
543,Quercus,3,0.018779767
451,Quercus,8,0.012427607
20,Quercus,31,0.015346027
860,Quercus,27,0.015121596
247,Quercus,29,0.014433272
657,Quercus,43,0.014784916
1090,Quercus,32,0.015696072
726,Quercus,28,0.015240703
433,Quercus,21,0.014418767
862,Quercus,35,0.015233247
1231,Quercus,30,0.01375038
1299,Quercus,8,0.025922847
521,Quercus,11,0.02535722
1276,Quercus,10,0.027256696
29,Quercus,19,0.026696191
885,Quercus,4,0.019997496
245,Quercus,10,0.023505359
1305,Quercus,9,0.024510132
303,Quercus,12,0.021228148
1563,Quercus,12,0.029046332
808,Quercus,13,0.024332372
1089,Quercus,6,0.016766584
194,Quercus,4,0.016881596
72,Quercus,4,0.017936987
460,Quercus,5,0.017052498
916,Quercus,4,0.01803536
298,Quercus,1,0.016371965
912,Quercus,6,0.016112664
1523,Quercus,4,0.015840338
333,Quercus,4,0.018868014
1170,Quercus,3,0.017811189
1163,Quercus,3,0.012489495
876,Quercus,4,0.012228551
481,Quercus,5,0.009771545
1552,Quercus,5,0.010435945
1337,Quercus,3,0.009223075
1120,Quercus,2,0.009358774
1323,Quercus,4,0.011266487
1399,Quercus,3,0.010085474
375,Quercus,7,0.010837933
1403,Quercus,6,0.010652229
383,Quercus,12,0.018432864
593,Quercus,17,0.013374713
420,Quercus,6,0.02188654
1582,Quercus,13,0.015555385
978,Quercus,17,0.017398216
11,Quercus,9,0.019476077
1432,Quercus,6,0.01964996
1128,Quercus,10,0.01873946
389,Quercus,18,0.01340827
356,Quercus,7,0.014766252
547,Quercus,6,0.011667403
482,Quercus,6,0.011621358
603,Quercus,11,0.011951888
171,Quercus,15,0.012448038
1222,Quercus,10,0.011278138
1359,Quercus,14,0.012914947
108,Quercus,13,0.012899258
951,Quercus,6,0.012358276
1402,Quercus,12,0.013974695
1010,Quercus,14,0.012246824
446,Quercus,9,0.017403968
355,Quercus,9,0.019900015
900,Quercus,13,0.023234436
1423,Quercus,18,0.025538907
1531,Quercus,18,0.017886572
563,Quercus,19,0.022278281
377,Quercus,9,0.026080518
1379,Quercus,15,0.01610221
1476,Quercus,9,0.016690977
468,Quercus,15,0.020834672
321,Quercus,3,0.02629577
92,Quercus,2,0.023854545
83,Quercus,4,0.02838569
1065,Quercus,3,0.022883057
813,Quercus,2,0.022594922
1278,Quercus,3,0.023513226
1569,Quercus,1,0.022653023
1549,Quercus,1,0.028210661
246,Quercus,2,0.030259777
822,Quercus,2,0.019511816
858,Quercus,12,0.018060356
936,Quercus,8,0.017435211
1500,Quercus,7,0.015543052
680,Quercus,7,0.017126754
823,Quercus,10,0.019081842
1555,Quercus,10,0.019946633
109,Quercus,10,0.016507167
438,Quercus,12,0.016523741
1341,Quercus,10,0.017094143
870,Quercus,12,0.017181885
319,Quercus,17,0.013377061
919,Quercus,18,0.013453017
84,Quercus,17,0.013343369
31,Quercus,18,0.013366243
1156,Quercus,16,0.01382492
491,Quercus,11,0.012938523
784,Quercus,20,0.013645832
1016,Quercus,23,0.014112536
444,Quercus,15,0.013324714
259,Quercus,22,0.013957868
32,Quercus,21,0.014137871
120,Quercus,28,0.013609634
190,Quercus,17,0.013560868
866,Quercus,22,0.014384061
64,Quercus,19,0.013599744
278,Quercus,25,0.014060021
327,Quercus,21,0.013355542
961,Quercus,22,0.013762829
692,Quercus,24,0.014394181
6,Quercus,28,0.014142506
323,Quercus,6,0.0205517
1187,Quercus,15,0.022577013
1557,Quercus,12,0.023651025
995,Quercus,12,0.025618739
1210,Quercus,15,0.01751044
1541,Quercus,12,0.019835828
776,Quercus,11,0.021243512
695,Quercus,10,0.026018839
1441,Quercus,13,0.022284966
850,Quercus,12,0.022188896
1375,Quercus,15,0.021334769
514,Quercus,12,0.019023348
524,Quercus,14,0.014089863
828,Quercus,13,0.017725642
1568,Quercus,16,0.013675741
1548,Quercus,11,0.019165855
350,Quercus,12,0.021360531
1515,Quercus,6,0.016902215
631,Quercus,15,0.017131741
345,Quercus,13,0.019833076
1148,Quercus,2,0.012842056
1492,Quercus,11,0.015535295
1317,Quercus,1,0.0138929
917,Quercus,3,0.013237879
280,Quercus,8,0.01415141
225,Quercus,7,0.015792712
1356,Quercus,12,0.014917766
934,Quercus,9,0.014568459
306,Quercus,3,0.013370182
379,Quercus,2,0.014090937
907,Rhododendron,3,0.015590526
927,Rhododendron,3,0.015808209
54,Rhododendron,3,0.016686099
778,Rhododendron,3,0.015534563
700,Rhododendron,2,0.018096686
710,Rhododendron,3,0.018291173
1352,Rhododendron,3,0.014664331
103,Rhododendron,3,0.014740299
1561,Rhododendron,2,0.013026758
1046,Rhododendron,3,0.013429054
1543,Salix,18,0.019387445
704,Salix,3,0.01695147
620,Salix,41,0.01943142
15,Salix,8,0.017474428
1472,Salix,42,0.019224204
1025,Salix,10,0.018294303
1073,Salix,19,0.017098824
1077,Salix,21,0.019652801
847,Salix,12,0.019155109
976,Salix,2,0.018230118
681,Salix,5,0.018753929
522,Salix,2,0.017140039
669,Salix,2,0.015598825
1201,Salix,7,0.01461924
1042,Salix,3,0.015923797
1221,Salix,2,0.019663583
1509,Salix,3,0.017248842
1532,Salix,4,0.015834922
1121,Salix,2,0.016359031
1442,Salix,3,0.01718977
798,Sorbus,35,0.012789963
1269,Sorbus,39,0.012916321
741,Sorbus,39,0.012407476
867,Sorbus,35,0.012666014
1395,Sorbus,26,0.012537422
1160,Sorbus,35,0.012294458
1200,Sorbus,35,0.013198055
714,Sorbus,46,0.012150179
1176,Sorbus,39,0.012389004
676,Sorbus,56,0.012457548
409,Tilia,39,0.008363788
959,Tilia,51,0.010041299
1062,Tilia,46,0.010247477
418,Tilia,64,0.008280687
1174,Tilia,48,0.008372142
386,Tilia,44,0.009200345
1482,Tilia,50,0.009372478
685,Tilia,43,0.008517982
1524,Tilia,55,0.009877787
107,Tilia,40,0.010435433
1152,Tilia,48,0.010612282
1040,Tilia,48,0.00827234
183,Tilia,37,0.01058556
239,Tilia,60,0.009359938
637,Tilia,25,0.009417748
1249,Tilia,45,0.008914628
1030,Tilia,54,0.010854352
466,Tilia,50,0.007846177
598,Tilia,57,0.007208639
416,Tilia,62,0.010733523
1335,Tilia,36,0.012832208
942,Tilia,38,0.012707997
50,Tilia,51,0.013234109
1544,Tilia,50,0.013837673
1059,Tilia,36,0.012566943
5,Tilia,49,0.013688536
459,Tilia,37,0.01347672
211,Tilia,41,0.013116223
1301,Tilia,27,0.012433947
649,Tilia,42,0.013434504
756,Ulmus,67,0.012691654
1135,Ulmus,77,0.010019438
436,Ulmus,77,0.010874497
1308,Ulmus,70,0.011261226
1448,Ulmus,59,0.012072752
1238,Ulmus,63,0.010761505
1381,Ulmus,64,0.011327815
855,Ulmus,64,0.012637948
636,Ulmus,66,0.01159268
793,Ulmus,81,0.010047209
528,Viburnum,3,0.01418455
928,Viburnum,3,0.012609004
838,Viburnum,3,0.012964526
787,Viburnum,1,0.011824981
1211,Viburnum,2,0.011079347
869,Viburnum,2,0.014393247
1218,Viburnum,2,0.016876255
671,Viburnum,4,0.014821641
291,Viburnum,2,0.010892426
1240,Viburnum,2,0.012795433
1444,Viburnum,9,0.011996194
1226,Viburnum,4,0.011437474
152,Viburnum,3,0.011367876
1420,Viburnum,3,0.011677799
661,Viburnum,3,0.01161959
1474,Viburnum,3,0.011327218
1570,Viburnum,3,0.011527969
1300,Viburnum,3,0.011651106
556,Viburnum,8,0.011564388
1311,Viburnum,4,0.011682865
336,Zelkova,39,0.013675573
17,Zelkova,35,0.015092294
1410,Zelkova,28,0.019563307
1136,Zelkova,33,0.019601066
535,Zelkova,31,0.01708598
1265,Zelkova,41,0.014468304
993,Zelkova,34,0.013372796
1198,Zelkova,32,0.015639756
1443,Zelkova,35,0.018418891
718,Zelkova,28,0.019245369