id,label,number_corners,ratio_of_areas
1562,Acer,34,1.641284592
610,Acer,30,1.647543038
498,Acer,35,1.712946048
1377,Acer,37,1.689711577
1525,Acer,33,1.666250808
227,Acer,31,1.62102204
990,Acer,32,1.620350642
201,Acer,34,1.679503181
569,Acer,36,1.660243107
1196,Acer,34,1.652080769
160,Acer,27,1.895579993
1000,Acer,43,1.796522859
164,Acer,43,1.826489287
962,Acer,43,1.798637825
235,Acer,38,1.920005439
496,Acer,40,1.771305702
1506,Acer,34,1.834857706
1019,Acer,34,1.917705405
268,Acer,39,1.737423777
166,Acer,41,1.939279367
1556,Acer,5,2.12332989
807,Acer,6,2.043934779
288,Acer,4,2.215706999
892,Acer,7,1.978888925
1005,Acer,3,2.087352251
1519,Acer,5,1.815085158
489,Acer,5,2.096807109
216,Acer,3,2.373291194
499,Acer,6,2.172744173
1342,Acer,5,2.069061926
1320,Acer,17,1.557100986
1,Acer,5,1.557934135
1450,Acer,8,1.57575435
906,Acer,11,1.55860753
1504,Acer,7,1.590315072
1159,Acer,3,1.448078533
1125,Acer,4,1.561278633
1002,Acer,8,1.616489333
317,Acer,6,1.562074189
1270,Acer,9,1.623380575
324,Acer,7,2.582074432
27,Acer,7,2.8771995
118,Acer,19,2.811661455
1041,Acer,12,2.856211281
1088,Acer,14,2.840704303
203,Acer,3,2.923044104
960,Acer,6,2.798781176
1551,Acer,12,2.915989759
1370,Acer,13,2.884807181
1085,Acer,10,2.917000058
362,Acer,4,3.231012923
1538,Acer,6,3.063879466
949,Acer,7,3.068829996
1578,Acer,6,3.299956677
956,Acer,5,3.285742538
1417,Acer,6,3.178014567
311,Acer,8,3.21146899
810,Acer,5,3.242388572
915,Acer,6,3.120156128
146,Acer,4,2.965061321
38,Acer,5,1.948196369
322,Acer,8,1.934530484
511,Acer,3,1.888543731
408,Acer,5,1.984800357
589,Acer,3,2.113837947
1467,Acer,6,2.013017433
754,Acer,10,2.00771195
1512,Acer,9,2.09663069
331,Acer,9,2.073605065
1011,Acer,7,1.995363581
238,Acer,45,1.839166711
727,Acer,40,1.735549243
698,Acer,38,1.843336842
1154,Acer,37,2.067534372
1243,Acer,49,1.970759013
1245,Acer,45,1.829280349
873,Acer,33,1.990617096
1117,Acer,31,2.074589845
1165,Acer,37,2.199070677
1216,Acer,41,1.914941415
853,Acer,76,1.749824348
364,Acer,58,1.802129968
148,Acer,77,1.938698975
713,Acer,84,1.745619384
652,Acer,93,1.925968233
641,Acer,74,1.842327914
651,Acer,76,1.87921617
1520,Acer,92,1.772090299
404,Acer,72,1.84457153
570,Acer,75,1.759615355
763,Acer,65,2.984555756
506,Acer,63,2.399928167
864,Acer,63,2.58357529
1182,Acer,49,3.111637081
167,Acer,60,2.721257444
253,Acer,59,2.481650919
1003,Acer,44,2.789330939
78,Acer,66,2.387711434
365,Acer,57,2.964566085
1184,Acer,44,2.63408187
186,Alnus,35,1.405197606
1435,Alnus,12,1.481842706
505,Alnus,18,1.41537084
629,Alnus,22,1.366439515
198,Alnus,17,1.486021938
839,Alnus,26,1.407339357
1235,Alnus,15,1.411477508
1477,Alnus,34,1.423226885
647,Alnus,27,1.488012981
1242,Alnus,22,1.392922672
877,Alnus,50,1.604824805
1287,Alnus,61,1.548274525
140,Alnus,69,1.575517453
893,Alnus,67,1.549375399
1217,Alnus,79,1.543556258
805,Alnus,65,1.558642422
663,Alnus,51,1.6276345
1232,Alnus,54,1.604070179
983,Alnus,63,1.591933101
1581,Alnus,73,1.541786744
493,Alnus,40,1.54135402
1021,Alnus,23,1.458931753
1258,Alnus,23,1.515600371
868,Alnus,46,1.637214218
290,Alnus,29,1.481205362
55,Alnus,33,1.514393586
314,Alnus,44,1.613472506
1118,Alnus,25,1.44271041
954,Alnus,25,1.511757396
475,Alnus,26,1.514796346
788,Alnus,55,1.712771559
971,Alnus,46,1.742222222
1396,Alnus,52,1.697252517
1096,Alnus,45,1.734027204
1302,Alnus,43,1.626408225
738,Alnus,39,1.697975776
34,Alnus,54,1.72204589
1004,Alnus,53,1.686299866
376,Alnus,62,1.722741911
371,Alnus,63,1.744927761
1124,Alnus,54,1.475119717
1566,Alnus,76,1.512033245
717,Alnus,69,1.399453115
646,Alnus,50,1.40770424
357,Alnus,46,1.493105286
1255,Alnus,42,1.420384436
374,Alnus,77,1.439109123
1550,Alnus,76,1.463733036
334,Alnus,72,1.573919478
394,Alnus,66,1.48035197
196,Arundinaria,1,1.469487203
1488,Arundinaria,2,1.53756211
464,Arundinaria,3,1.509810922
1039,Arundinaria,1,1.501912708
1034,Arundinaria,2,1.509333454
412,Arundinaria,1,1.543324622
37,Arundinaria,2,1.476521227
423,Arundinaria,1,1.532259045
199,Arundinaria,1,1.54497966
454,Arundinaria,1,1.512120982
488,Betula,82,1.603868997
286,Betula,79,1.617800089
18,Betula,49,1.47754171
175,Betula,68,1.547242365
747,Betula,68,1.562895201
1097,Betula,69,1.604398895
672,Betula,66,1.597051684
758,Betula,67,1.568810733
443,Betula,74,1.612037861
341,Betula,64,1.623375107
1393,Betula,27,1.980502371
339,Betula,22,1.774551418
461,Betula,17,1.809586343
621,Betula,15,1.856443168
1213,Betula,28,1.663886572
1013,Betula,24,1.732378317
1052,Betula,20,1.74647398
1473,Betula,18,1.655060963
415,Betula,16,1.793564056
615,Betula,22,1.821007656
992,Callicarpa,10,1.82191562
558,Callicarpa,3,1.614929893
143,Callicarpa,22,1.676966335
73,Callicarpa,16,1.634342229
765,Callicarpa,3,1.651075694
1119,Callicarpa,3,1.607704343
1367,Callicarpa,2,1.698001187
1179,Callicarpa,4,1.64270454
380,Callicarpa,3,1.731301855
969,Callicarpa,6,1.646894632
1087,Castanea,12,1.619265778
1296,Castanea,25,1.720705731
1153,Castanea,33,1.756151485
1511,Castanea,25,1.62278571
425,Castanea,22,1.639980543
1229,Castanea,14,1.576804421
1273,Castanea,33,1.610951808
926,Castanea,12,1.614038478
769,Castanea,19,1.628519485
592,Castanea,23,1.527554923
153,Celtis,38,1.511222248
169,Celtis,25,1.55422878
249,Celtis,37,1.460882777
100,Celtis,34,1.60368383
1425,Celtis,31,1.62729882
1175,Celtis,32,1.464051095
566,Celtis,36,1.555011928
1277,Celtis,30,1.536007847
61,Celtis,41,1.503916449
115,Celtis,42,1.419306769
58,Cercis,2,1.300588316
582,Cercis,1,1.267043768
242,Cercis,3,1.307894597
551,Cercis,1,1.242519733
398,Cercis,2,1.28163256
427,Cercis,3,1.296868346
1094,Cercis,4,1.304306125
914,Cercis,3,1.241020016
1471,Cercis,3,1.30378166
88,Cercis,3,1.275820945
513,Cornus,2,1.604278949
450,Cornus,2,1.647909474
800,Cornus,1,1.655861699
42,Cornus,3,1.589529852
1461,Cornus,3,1.504589365
745,Cornus,4,1.544770697
1405,Cornus,5,1.636385949
662,Cornus,2,1.653133095
737,Cornus,4,1.490108449
1256,Cornus,3,1.637390481
881,Cornus,2,1.514433719
1398,Cornus,2,1.518111865
71,Cornus,2,1.4968607
1527,Cornus,2,1.461597536
273,Cornus,2,1.480460716
614,Cornus,1,1.49949761
757,Cornus,2,1.539726778
1169,Cornus,2,1.544137233
932,Cornus,2,1.482207217
1345,Cornus,3,1.5439631
217,Cornus,4,1.522144686
1208,Cornus,2,1.522330047
972,Cornus,5,1.57351173
635,Cornus,2,1.67045299
523,Cornus,3,1.595890236
463,Cornus,2,1.607139908
939,Cornus,3,1.494346059
837,Cornus,3,1.580791976
677,Cornus,4,1.644487532
467,Cornus,1,1.579079613
572,Cotinus,1,1.47198625
1431,Cotinus,1,1.496327937
831,Cotinus,1,1.487671108
1386,Cotinus,1,1.489161405
622,Cotinus,1,1.477958166
360,Cotinus,1,1.557114883
1112,Cotinus,1,1.53151318
60,Cotinus,1,1.44902284
224,Cotinus,2,1.4694902
552,Cotinus,1,1.487305637
1284,Crataegus,35,1.871009037
968,Crataegus,38,1.877322856
709,Crataegus,36,1.697038189
1017,Crataegus,48,1.710155469
218,Crataegus,44,1.862682781
366,Crataegus,24,1.828037553
1066,Crataegus,47,1.866424518
721,Crataegus,39,1.76188958
1372,Crataegus,29,2.313174913
630,Crataegus,32,1.781855598
1392,Cytisus,5,1.450514195
49,Cytisus,3,1.410811798
1460,Cytisus,1,1.43697479
1132,Cytisus,1,1.479317602
792,Cytisus,1,1.404678515
553,Cytisus,1,1.439507168
1263,Cytisus,1,1.412053404
571,Cytisus,1,1.45692131
1355,Cytisus,1,1.431041863
419,Cytisus,2,1.521366069
1239,Eucalyptus,1,2.457856149
289,Eucalyptus,2,2.141609355
678,Eucalyptus,2,2.182819367
882,Eucalyptus,3,1.549061092
56,Eucalyptus,1,2.205901273
752,Eucalyptus,2,1.980667608
720,Eucalyptus,3,1.933947186
689,Eucalyptus,1,1.61673684
771,Eucalyptus,2,2.093060607
844,Eucalyptus,2,2.172882193
302,Eucalyptus,2,1.455608686
1186,Eucalyptus,2,1.45843664
760,Eucalyptus,2,1.43660774
996,Eucalyptus,2,1.447839936
173,Eucalyptus,2,1.530357998
1378,Eucalyptus,2,1.455818449
797,Eucalyptus,2,1.533791969
606,Eucalyptus,1,1.452469807
588,Eucalyptus,3,1.419887361
1452,Eucalyptus,3,1.467399974
310,Eucalyptus,2,1.508291565
772,Eucalyptus,2,1.589568192
1344,Eucalyptus,1,1.546279911
1373,Eucalyptus,1,1.596807907
1514,Eucalyptus,3,1.539620011
904,Eucalyptus,2,1.476409565
1080,Eucalyptus,1,1.602738653
660,Eucalyptus,2,1.451013789
393,Eucalyptus,1,1.567760806
265,Eucalyptus,2,1.59142893
1202,Fagus,3,1.545170772
516,Fagus,4,1.515807916
25,Fagus,2,1.524337798
258,Fagus,1,1.461587813
623,Fagus,2,1.590950439
45,Fagus,5,1.569987882
335,Fagus,1,1.544409286
437,Fagus,2,1.647702018
774,Fagus,2,1.558918607
1289,Fagus,1,1.516230977
462,Ginkgo,1,1.686747538
178,Ginkgo,1,1.704021129
116,Ginkgo,1,1.597438744
645,Ginkgo,2,1.7781435
1319,Ginkgo,1,1.725464876
1309,Ginkgo,2,1.776972833
532,Ginkgo,2,1.866192528
1536,Ginkgo,8,1.8309045
806,Ginkgo,2,1.648783488
413,Ginkgo,1,1.870983181
1349,Ilex,12,1.557043496
963,Ilex,10,1.532113485
1346,Ilex,15,1.563470065
1438,Ilex,20,1.425177388
155,Ilex,9,1.516041009
1325,Ilex,14,1.575976085
910,Ilex,8,1.43067569
600,Ilex,12,1.549695452
248,Ilex,14,1.554140309
1501,Ilex,15,1.590545856
789,Ilex,2,1.404902505
1463,Ilex,3,1.341364337
1250,Ilex,2,1.377992745
231,Ilex,2,1.400268683
1056,Ilex,2,1.43001683
106,Ilex,1,1.398235586
1360,Ilex,2,1.499371931
1347,Ilex,3,1.435390789
697,Ilex,3,1.415575881
1574,Ilex,2,1.427629068
1197,Liquidambar,6,2.65052133
1391,Liquidambar,21,2.503169875
396,Liquidambar,9,2.508871738
827,Liquidambar,10,2.916153482
568,Liquidambar,10,2.972901683
573,Liquidambar,11,2.755852537
1350,Liquidambar,12,2.697245872
358,Liquidambar,8,2.514224033
124,Liquidambar,8,2.801689757
219,Liquidambar,6,2.610310667
538,Liriodendron,2,1.436598639
878,Liriodendron,3,1.501647322
794,Liriodendron,2,1.478305778
48,Liriodendron,5,1.619094816
85,Liriodendron,4,1.572030604
430,Liriodendron,3,1.636499997
501,Liriodendron,4,1.580445537
722,Liriodendron,4,1.511340617
122,Liriodendron,2,1.650149025
212,Liriodendron,8,1.530036311
325,Lithocarpus,3,1.490337037
908,Lithocarpus,1,1.458318957
348,Lithocarpus,2,1.421429086
252,Lithocarpus,2,1.511932265
149,Lithocarpus,1,1.413504574
585,Lithocarpus,2,1.405475425
811,Lithocarpus,2,1.452524956
597,Lithocarpus,2,1.50219615
519,Lithocarpus,3,1.497142539
1131,Lithocarpus,1,1.468591263
410,Lithocarpus,2,1.624418578
1147,Lithocarpus,2,1.532246924
1483,Lithocarpus,2,1.680895529
1394,Lithocarpus,1,1.624900021
241,Lithocarpus,2,1.61783522
1036,Lithocarpus,2,1.619900482
616,Lithocarpus,4,1.577227542
619,Lithocarpus,3,1.621979225
233,Lithocarpus,2,1.6888828
428,Lithocarpus,3,1.618407564
856,Magnolia,2,1.583177576
363,Magnolia,2,1.578231067
1384,Magnolia,3,1.530752261
328,Magnolia,2,1.608079936
809,Magnolia,3,1.609961997
214,Magnolia,2,1.52348808
854,Magnolia,3,1.583235101
1219,Magnolia,3,1.616548102
1031,Magnolia,3,1.604297276
1206,Magnolia,3,1.564214431
411,Magnolia,1,1.638325178
749,Magnolia,3,1.631345439
562,Magnolia,2,1.561614451
338,Magnolia,2,1.597442998
748,Magnolia,2,1.596490132
256,Magnolia,1,1.550575492
8,Magnolia,3,1.503072138
1049,Magnolia,2,1.536182703
874,Magnolia,3,1.557953711
1575,Magnolia,2,1.476654856
390,Morus,40,1.584779947
550,Morus,45,1.556178276
716,Morus,51,1.546498773
304,Morus,44,1.459091007
1254,Morus,33,1.548343312
711,Morus,52,1.530931379
981,Morus,31,1.575178495
1173,Morus,46,1.547426972
1228,Morus,45,1.598141696
1440,Morus,61,1.568764679
502,Olea,2,1.748749519
931,Olea,2,1.545028243
449,Olea,2,1.650444619
633,Olea,1,1.678809622
1499,Olea,2,1.511799632
732,Olea,2,1.830147521
1032,Olea,2,1.513157895
1251,Olea,2,1.678907505
1505,Olea,2,1.526851527
342,Olea,1,1.453539463
1330,Phildelphus,4,1.644628224
886,Phildelphus,6,1.516735622
269,Phildelphus,11,1.5798487
1271,Phildelphus,11,1.608040201
609,Phildelphus,5,1.674506766
952,Phildelphus,10,1.579113586
673,Phildelphus,14,1.452756087
1014,Phildelphus,3,1.615308589
520,Phildelphus,19,1.600598953
26,Phildelphus,4,1.611472715
970,Populus,1,1.877012185
656,Populus,3,1.737847222
740,Populus,4,1.586175143
559,Populus,4,1.735146482
30,Populus,4,1.684767246
455,Populus,4,1.772214622
933,Populus,3,1.792307049
994,Populus,3,1.785440147
294,Populus,2,1.682673091
367,Populus,4,1.793238228
1223,Populus,4,1.746773202
1545,Populus,6,1.79690205
440,Populus,4,1.780648687
530,Populus,2,1.695687848
388,Populus,5,1.64692623
1001,Populus,3,1.713972507
694,Populus,7,1.758764842
1521,Populus,3,1.600360303
237,Populus,8,1.724173271
561,Populus,5,1.754359847
634,Populus,6,1.66728147
601,Populus,6,1.66018066
397,Populus,5,1.670223064
883,Populus,5,1.54071707
470,Populus,5,1.706716187
1413,Populus,6,1.726268232
712,Populus,5,1.666866791
282,Populus,5,1.605535192
188,Populus,6,1.697539797
985,Populus,4,1.584006246
894,Prunus,86,1.749023576
987,Prunus,59,1.699849553
924,Prunus,84,1.709048179
1286,Prunus,91,1.717457512
81,Prunus,83,1.698008365
1340,Prunus,85,1.678327134
456,Prunus,72,1.62226507
1322,Prunus,68,1.743386289
865,Prunus,90,1.690071004
145,Prunus,86,1.668812905
1547,Prunus,52,1.636759973
542,Prunus,52,1.71161276
1324,Prunus,58,1.746524761
1496,Prunus,60,1.627620262
1414,Prunus,53,1.800666936
1172,Prunus,91,1.607231335
80,Prunus,74,1.741834549
1411,Prunus,75,1.637839559
1468,Prunus,100,1.721481112
859,Prunus,88,1.655669038
1023,Pterocarya,6,1.473434011
1076,Pterocarya,34,1.359153114
762,Pterocarya,34,1.349360088
966,Pterocarya,20,1.404037308
1518,Pterocarya,32,1.351499784
2,Pterocarya,19,1.342772213
1328,Pterocarya,12,1.423791002
