id,label,number_corners,ratio_of_areas
937,Pterocarya,6,1.374504764
431,Pterocarya,4,1.316233272
1408,Pterocarya,33,1.398912315
1310,Quercus,11,1.664126429
1584,Quercus,15,1.588436046
955,Quercus,8,1.643069281
759,Quercus,8,1.627564132
595,Quercus,9,1.608818382
1157,Quercus,15,1.561823115
134,Quercus,15,1.659785421
21,Quercus,7,1.729260431
1134,Quercus,16,1.635872579
260,Quercus,11,1.651154118
517,Quercus,8,1.492079387
206,Quercus,6,1.479758688
387,Quercus,6,1.53371998
478,Quercus,13,1.361317216
392,Quercus,6,1.396076839
142,Quercus,8,1.425149454
340,Quercus,5,1.360371401
204,Quercus,12,1.448088152
243,Quercus,8,1.427725774
1457,Quercus,8,1.411913877
508,Quercus,4,1.383929795
958,Quercus,11,1.438359607
1312,Quercus,12,1.497542642
861,Quercus,11,1.459803698
75,Quercus,19,1.478255254
728,Quercus,16,1.477467264
1374,Quercus,11,1.458766063
849,Quercus,21,1.473160051
133,Quercus,13,1.505682467
1449,Quercus,18,1.462206124
1507,Quercus,26,1.659042675
452,Quercus,17,1.743569132
642,Quercus,18,1.810127876
14,Quercus,14,1.528173552
1205,Quercus,21,1.661185741
999,Quercus,25,1.730455768
896,Quercus,21,1.575717077
494,Quercus,17,1.664390233
742,Quercus,15,1.553739344
1424,Quercus,17,1.679394218
179,Quercus,10,1.562870801
848,Quercus,14,1.56272609
1358,Quercus,9,1.508630642
948,Quercus,22,1.581634159
76,Quercus,24,1.397289937
596,Quercus,22,1.448331419
1095,Quercus,6,1.502779292
826,Quercus,11,1.623046651
139,Quercus,12,1.489916541
10,Quercus,12,1.599735231
1048,Quercus,3,1.566538555
492,Quercus,9,1.566103914
228,Quercus,10,1.538094752
1051,Quercus,17,1.695996068
863,Quercus,17,1.702558159
766,Quercus,11,1.549812255
825,Quercus,11,1.451681768
1037,Quercus,14,1.755652296
1508,Quercus,15,1.615386076
815,Quercus,16,1.640817181
901,Quercus,13,1.760771812
1283,Quercus,14,2.076306197
667,Quercus,9,1.779064206
165,Quercus,11,1.891755046
1554,Quercus,11,1.757205526
548,Quercus,9,2.090580812
240,Quercus,15,1.993149853
1220,Quercus,12,1.796033887
1502,Quercus,12,1.924177527
897,Quercus,14,2.057625265
1291,Quercus,2,1.451539018
283,Quercus,4,1.492717709
1479,Quercus,4,1.482406555
458,Quercus,1,1.421154724
168,Quercus,2,1.534545399
821,Quercus,1,1.465460489
923,Quercus,2,1.503531402
326,Quercus,3,1.414662565
1061,Quercus,3,1.550831652
675,Quercus,1,1.466230689
1390,Quercus,4,1.432291805
1145,Quercus,5,1.426662479
69,Quercus,4,1.489466292
87,Quercus,3,1.463926312
1257,Quercus,5,1.395609528
632,Quercus,6,1.465068133
22,Quercus,5,1.423982869
1083,Quercus,5,1.352191483
840,Quercus,5,1.393929253
1027,Quercus,4,1.429915181
163,Quercus,15,2.947693009
605,Quercus,10,2.915719531
1007,Quercus,10,3.000774752
1530,Quercus,15,2.900971906
576,Quercus,10,2.70259687
510,Quercus,9,2.739200753
469,Quercus,9,2.754841499
841,Quercus,12,2.628903104
1539,Quercus,9,3.143200377
189,Quercus,14,2.779251378
129,Quercus,9,1.481709448
1142,Quercus,9,1.414561031
257,Quercus,10,1.56770192
768,Quercus,8,1.528731349
1072,Quercus,7,1.481404896
426,Quercus,6,1.358949609
755,Quercus,7,1.390946502
63,Quercus,6,1.6693835
369,Quercus,9,1.54307981
382,Quercus,9,1.40068139
581,Quercus,3,1.419227169
706,Quercus,2,1.537411054
1110,Quercus,3,1.508544922
1167,Quercus,4,1.377728184
816,Quercus,2,1.334918478
309,Quercus,4,1.379714906
270,Quercus,3,1.359569825
1275,Quercus,3,1.473028029
684,Quercus,3,1.382287337
330,Quercus,2,1.521149675
1292,Quercus,3,1.473149459
1123,Quercus,5,1.435505481
315,Quercus,4,1.490012921
101,Quercus,6,1.465764561
920,Quercus,4,1.347309489
1236,Quercus,3,1.424424348
215,Quercus,3,1.419697477
898,Quercus,3,1.444158298
899,Quercus,1,1.417155804
1101,Quercus,4,1.459293114
1281,Quercus,13,3.077807737
445,Quercus,8,2.164152278
767,Quercus,12,3.218235659
779,Quercus,13,2.992399166
938,Quercus,12,2.806879943
824,Quercus,10,3.43261419
1419,Quercus,9,2.813703937
344,Quercus,14,3.162982968
490,Quercus,16,3.014094708
564,Quercus,13,3.114564324
1480,Quercus,10,1.505127623
1327,Quercus,5,1.399371154
682,Quercus,5,1.491798319
1225,Quercus,12,1.524112042
654,Quercus,4,1.441969919
785,Quercus,8,1.492360698
82,Quercus,8,1.412239166
871,Quercus,6,1.360691802
1516,Quercus,7,1.480443317
1166,Quercus,3,1.50688626
275,Quercus,6,1.737800382
1171,Quercus,5,1.570269428
3,Quercus,5,1.819207794
628,Quercus,7,1.579431648
66,Quercus,4,1.615507339
1436,Quercus,6,1.536137062
1081,Quercus,10,1.633562138
801,Quercus,9,1.758870098
1130,Quercus,9,1.760480956
1366,Quercus,4,1.557716007
733,Quercus,2,1.606421046
618,Quercus,2,1.575801984
267,Quercus,2,1.56995657
539,Quercus,1,1.498063839
803,Quercus,2,1.595946735
35,Quercus,2,1.554290748
1348,Quercus,2,1.698756059
1006,Quercus,3,1.544268643
777,Quercus,2,1.479117399
1294,Quercus,2,1.545230821
497,Quercus,2,1.536589022
263,Quercus,2,1.489562343
1194,Quercus,1,1.487950951
812,Quercus,1,1.45417263
1365,Quercus,1,1.497031443
1282,Quercus,1,1.542379047
1380,Quercus,2,1.443290578
979,Quercus,2,1.432223751
435,Quercus,2,1.447288539
307,Quercus,2,1.471065943
1339,Quercus,6,1.592950609
879,Quercus,1,1.518052097
1244,Quercus,2,1.585841356
1329,Quercus,1,1.557756853
664,Quercus,2,1.428693154
1100,Quercus,4,1.520153551
1353,Quercus,1,1.523841794
918,Quercus,5,1.581564037
1253,Quercus,1,1.548174035
851,Quercus,4,1.552929282
202,Quercus,6,1.686373446
1168,Quercus,4,1.721014934
852,Quercus,12,1.675188221
487,Quercus,9,1.473762765
349,Quercus,12,1.749823193
1454,Quercus,6,1.729621662
67,Quercus,8,1.549217947
1529,Quercus,10,1.72854613
944,Quercus,9,1.707262306
989,Quercus,12,1.594080499
1459,Quercus,2,2.111760365
1388,Quercus,2,1.981810775
1180,Quercus,3,2.109226296
1559,Quercus,2,2.001612872
1571,Quercus,1,2.173483985
730,Quercus,2,1.661770091
485,Quercus,2,2.689487039
724,Quercus,2,1.771932897
693,Quercus,1,1.973726907
753,Quercus,1,1.893304982
130,Quercus,10,4.294489963
417,Quercus,13,3.660040614
1446,Quercus,16,3.922681824
1262,Quercus,11,3.934423194
329,Quercus,11,3.93778054
354,Quercus,12,4.215629771
1093,Quercus,16,3.827270404
1024,Quercus,16,2.94879626
262,Quercus,15,3.677773427
802,Quercus,13,4.28054653
1113,Quercus,3,1.391259034
1144,Quercus,2,1.429815959
1475,Quercus,1,1.391132333
1572,Quercus,2,1.535626834
1098,Quercus,2,1.410810441
1268,Quercus,3,1.463817188
1469,Quercus,4,1.463499104
796,Quercus,2,1.508921604
132,Quercus,2,1.479773616
127,Quercus,2,1.400403605
1326,Quercus,4,1.386291189
1491,Quercus,3,1.439663465
545,Quercus,6,1.494132986
43,Quercus,1,1.464283851
1494,Quercus,3,1.37571876
975,Quercus,5,1.409547598
911,Quercus,3,1.449894868
875,Quercus,4,1.464104617
40,Quercus,4,1.375269523
543,Quercus,3,1.429553265
451,Quercus,8,1.577156947
20,Quercus,31,1.607159959
860,Quercus,27,1.730044203
247,Quercus,29,1.668787195
657,Quercus,43,1.660304212
1090,Quercus,32,1.740099781
726,Quercus,28,1.615666591
433,Quercus,21,1.614636036
862,Quercus,35,1.711008965
1231,Quercus,30,1.56138644
1299,Quercus,8,1.716943798
521,Quercus,11,1.753345579
1276,Quercus,10,2.004574729
29,Quercus,19,1.821473888
885,Quercus,4,1.658947237
245,Quercus,10,1.958525931
1305,Quercus,9,1.934452138
303,Quercus,12,1.721436186
1563,Quercus,12,1.98765078
808,Quercus,13,1.772215502
1089,Quercus,6,2.106841342
194,Quercus,4,2.040742263
72,Quercus,4,2.531538437
460,Quercus,5,2.141801233
916,Quercus,4,2.28334663
298,Quercus,1,2.18075173
912,Quercus,6,2.153434329
1523,Quercus,4,1.916062209
333,Quercus,4,2.443626577
1170,Quercus,3,2.467128055
1163,Quercus,3,1.587443548
876,Quercus,4,1.476376246
481,Quercus,5,1.495522902
1552,Quercus,5,1.4895689
1337,Quercus,3,1.578235359
1120,Quercus,2,1.433792322
1323,Quercus,4,1.490797642
1399,Quercus,3,1.51633671
375,Quercus,7,1.358597195
1403,Quercus,6,1.521304459
383,Quercus,12,2.403719582
593,Quercus,17,2.112546916
420,Quercus,6,2.790252036
1582,Quercus,13,2.477148581
978,Quercus,17,2.245694604
11,Quercus,9,2.595130981
1432,Quercus,6,3.004472769
1128,Quercus,10,2.424094308
389,Quercus,18,2.441731567
356,Quercus,7,2.359615722
547,Quercus,6,1.353418732
482,Quercus,6,1.332095345
603,Quercus,11,1.351035323
171,Quercus,15,1.396601343
1222,Quercus,10,1.320113314
1359,Quercus,14,1.419351896
108,Quercus,13,1.422122342
951,Quercus,6,1.411219152
1402,Quercus,12,1.450587028
1010,Quercus,14,1.401161507
446,Quercus,9,2.982708264
355,Quercus,9,2.895549192
900,Quercus,13,2.928365759
1423,Quercus,18,2.873419484
1531,Quercus,18,2.690434911
563,Quercus,19,3.151217436
377,Quercus,9,3.053068759
1379,Quercus,15,2.939233547
1476,Quercus,9,2.993531981
468,Quercus,15,2.535012039
321,Quercus,3,1.50511031
92,Quercus,2,1.533905455
83,Quercus,4,1.470483728
1065,Quercus,3,1.485417916
813,Quercus,2,1.553562647
1278,Quercus,3,1.459101995
1569,Quercus,1,1.46966547
1549,Quercus,1,1.521857268
246,Quercus,2,1.67905061
822,Quercus,2,1.516013682
858,Quercus,12,2.746983203
936,Quercus,8,2.779170215
1500,Quercus,7,2.634541501
680,Quercus,7,2.848057863
823,Quercus,10,3.016532472
1555,Quercus,10,3.135725653
109,Quercus,10,2.788330305
438,Quercus,12,2.761579498
1341,Quercus,10,2.576149531
870,Quercus,12,2.952019408
319,Quercus,17,1.606008264
919,Quercus,18,1.530826976
84,Quercus,17,1.494001186
31,Quercus,18,1.572378963
1156,Quercus,16,1.648789178
491,Quercus,11,1.506903594
784,Quercus,20,1.588199967
1016,Quercus,23,1.62184025
444,Quercus,15,1.550085561
259,Quercus,22,1.497607874
32,Quercus,21,1.500596038
120,Quercus,28,1.599014081
190,Quercus,17,1.548082551
866,Quercus,22,1.627009817
64,Quercus,19,1.531570291
278,Quercus,25,1.521435458
327,Quercus,21,1.590252584
961,Quercus,22,1.564374891
692,Quercus,24,1.559988436
6,Quercus,28,1.61245119
323,Quercus,6,1.891766387
1187,Quercus,15,1.767329734
1557,Quercus,12,1.775320084
995,Quercus,12,1.821537985
1210,Quercus,15,1.74726124
1541,Quercus,12,1.798082648
776,Quercus,11,1.779106541
695,Quercus,10,1.811298066
1441,Quercus,13,1.787641836
850,Quercus,12,1.785452105
1375,Quercus,15,1.658969528
514,Quercus,12,1.733621644
524,Quercus,14,1.603809333
828,Quercus,13,1.58194864
1568,Quercus,16,1.538293892
1548,Quercus,11,1.594710426
350,Quercus,12,1.506350428
1515,Quercus,6,1.563359435
631,Quercus,15,1.498833995
345,Quercus,13,1.645825457
1148,Quercus,2,1.667072179
1492,Quercus,11,1.746188416
1317,Quercus,1,1.729954856
917,Quercus,3,1.642866381
280,Quercus,8,1.769854984
225,Quercus,7,1.731516298
1356,Quercus,12,1.624355288
934,Quercus,9,1.610483816
306,Quercus,3,1.645898976
379,Quercus,2,1.768237568
907,Rhododendron,3,1.403335599
927,Rhododendron,3,1.518921636
54,Rhododendron,3,1.618408606
778,Rhododendron,3,1.520557969
700,Rhododendron,2,1.53150438
710,Rhododendron,3,1.472832656
1352,Rhododendron,3,1.560352622
103,Rhododendron,3,1.432432432
1561,Rhododendron,2,1.522105124
1046,Rhododendron,3,1.459231419
1543,Salix,18,2.140811674
704,Salix,3,1.910047847
620,Salix,41,1.792333822
15,Salix,8,1.629003288
1472,Salix,42,1.980533028
1025,Salix,10,1.684973621
1073,Salix,19,1.732939174
1077,Salix,21,1.701292667
847,Salix,12,1.969269797
976,Salix,2,1.954694921
681,Salix,5,1.397620106
522,Salix,2,1.304615891
669,Salix,2,1.452038166
1201,Salix,7,1.322355822
1042,Salix,3,1.269946841
1221,Salix,2,1.338916149
1509,Salix,3,1.3612288
1532,Salix,4,1.352579939
1121,Salix,2,1.359945587
1442,Salix,3,1.22775356
798,Sorbus,35,1.51024339
1269,Sorbus,39,1.466036689
741,Sorbus,39,1.452929945
867,Sorbus,35,1.471436924
1395,Sorbus,26,1.484438399
1160,Sorbus,35,1.501903167
1200,Sorbus,35,1.473820814
714,Sorbus,46,1.398205208
1176,Sorbus,39,1.482798958
676,Sorbus,56,1.410657448
409,Tilia,39,1.578774117
959,Tilia,51,1.528277593
1062,Tilia,46,1.524686276
418,Tilia,64,1.590765709
1174,Tilia,48,1.55994237
386,Tilia,44,1.570864428
1482,Tilia,50,1.558375283
685,Tilia,43,1.614638117
1524,Tilia,55,1.596256674
107,Tilia,40,1.565089717
1152,Tilia,48,1.552833859
1040,Tilia,48,1.472821314
183,Tilia,37,1.597895465
239,Tilia,60,1.559299891
637,Tilia,25,1.470438128
1249,Tilia,45,1.499380248
1030,Tilia,54,1.58010371
466,Tilia,50,1.499406496
598,Tilia,57,1.445160502
416,Tilia,62,1.534717005
1335,Tilia,36,1.492975734
942,Tilia,38,1.483824111
50,Tilia,51,1.415281937
1544,Tilia,50,1.42112146
1059,Tilia,36,1.389027507
5,Tilia,49,1.421184567
459,Tilia,37,1.385394643
211,Tilia,41,1.49608488
1301,Tilia,27,1.493109172
649,Tilia,42,1.416157899
756,Ulmus,67,1.532603852
1135,Ulmus,77,1.517996488
436,Ulmus,77,1.613701084
1308,Ulmus,70,1.643262822
1448,Ulmus,59,1.651808999
1238,Ulmus,63,1.583786
1381,Ulmus,64,1.564966378
855,Ulmus,64,1.648489835
636,Ulmus,66,1.671414849
793,Ulmus,81,1.561167199
528,Viburnum,3,1.491011079
928,Viburnum,3,1.496557767
838,Viburnum,3,1.527143669
787,Viburnum,1,1.470157068
1211,Viburnum,2,1.461534332
869,Viburnum,2,1.554617702
1218,Viburnum,2,1.491946395
671,Viburnum,4,1.43421301
291,Viburnum,2,1.52074557
1240,Viburnum,2,1.548584164
1444,Viburnum,9,1.415627022
1226,Viburnum,4,1.369715393
152,Viburnum,3,1.35991929
1420,Viburnum,3,1.408243689
661,Viburnum,3,1.378781883
1474,Viburnum,3,1.413161801
1570,Viburnum,3,1.397581938
1300,Viburnum,3,1.343197429
556,Viburnum,8,1.439210883
1311,Viburnum,4,1.410924811
336,Zelkova,39,1.712832087
17,Zelkova,35,1.658210127
1410,Zelkova,28,1.73825458
1136,Zelkova,33,1.702219315
535,Zelkova,31,1.655859551
1265,Zelkova,41,1.698481686
993,Zelkova,34,1.620456983
1198,Zelkova,32,1.597849975
1443,Zelkova,35,1.698830308
718,Zelkova,28,1.670260148