id,label,number_corners,length_width_ratio,perimeter_area_ratio,ratio_of_areas,solidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Acer,34,1.526595745,0.013749363,1.641284592,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Acer,30,1.887905605,0.013592838,1.647543038,0.92615858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Acer,35,1.494845361,0.013891426,1.712946048,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,Acer,37,1.546174142,0.013899984,1.689711577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Acer,33,1.541114058,0.013670077,1.666250808,0.9157141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Acer,31,1.573369565,0.013367011,1.62102204,0.922931293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Acer,32,1.607142857,0.013491508,1.620350642,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Acer,34,1.702777778,0.013828427,1.679503181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Acer,36,1.648351648,0.013584498,1.660243107,0.92636201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Acer,34,1.996969697,0.013902183,1.652080769,0.919305881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Acer,27,1.164835165,0.023676081,1.895579993,0.70187731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Acer,43,1.171111111,0.024082421,1.796522859,0.699553305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Acer,43,1.104575163,0.022470764,1.826489287,0.72672881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Acer,43,1.093023256,0.021741849,1.798637825,0.739147072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Acer,38,1.076131687,0.022827532,1.920005439,0.664970949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Acer,40,1.063291139,0.021813598,1.771305702,0.711745095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Acer,34,1.16744186,0.024421135,1.834857706,0.711088904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Acer,34,1.146993318,0.023926223,1.917705405,0.700150759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Acer,39,1.141860465,0.023889268,1.737423777,0.725907743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Acer,41,1.11409396,0.025804091,1.939279367,0.692730691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Acer,5,1.484641638,0.021474028,2.12332989,0.788562884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Acer,6,1.347079038,0.021214836,2.043934779,0.826379936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Acer,4,1.344512195,0.022639891,2.215706999,0.685094317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Acer,7,1.466898955,0.020406826,1.978888925,0.792322641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Acer,3,1.473509934,0.020564435,2.087352251,0.796381931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Acer,5,1.402255639,0.020598943,1.815085158,0.847418513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Acer,5,1.350453172,0.019585335,2.096807109,0.795393533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Acer,3,1.393491124,0.021944275,2.373291194,0.687627961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Acer,6,1.205633803,0.02026312,2.172744173,0.729439086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Acer,5,1.292418773,0.024912369,2.069061926,0.759899995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Acer,17,1.121779859,0.013794679,1.557100986,0.849644595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acer,5,1.139150943,0.013434664,1.557934135,0.878913582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Acer,8,1.065759637,0.013600736,1.57575435,0.868118747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Acer,11,1.063781321,0.013099076,1.55860753,0.865494769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Acer,7,1.070135747,0.013319438,1.590315072,0.839661171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Acer,3,1.073634204,0.012449585,1.448078533,0.900587379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Acer,4,1.049773756,0.012774153,1.561278633,0.887491621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Acer,8,1.183962264,0.013153798,1.616489333,0.875692339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Acer,6,1.00886918,0.012971294,1.562074189,0.86768894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Acer,9,1.030769231,0.013868286,1.623380575,0.820863391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Acer,7,1.163212435,0.043249605,2.582074432,0.487504842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Acer,7,1.12596401,0.047282921,2.8771995,0.438322096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Acer,19,1.034825871,0.047496553,2.811661455,0.454465475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Acer,12,1.095,0.048223019,2.856211281,0.445610141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Acer,14,1.237726098,0.043428957,2.840704303,0.461840696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Acer,3,1.150793651,0.048424084,2.923044104,0.428927075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Acer,6,1.075268817,0.046853252,2.798781176,0.457956805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Acer,12,1.141791045,0.048389646,2.915989759,0.440072273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Acer,13,1.139325843,0.039944763,2.884807181,0.460563202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Acer,10,1.135391924,0.043616281,2.917000058,0.474274674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Acer,4,1.242735043,0.021469433,3.231012923,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Acer,6,1.261946903,0.020200484,3.063879466,0.504113918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Acer,7,1.285204991,0.020689969,3.068829996,0.488605002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Acer,6,1.281786942,0.021882054,3.299956677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Acer,5,1.220168067,0.021685886,3.285742538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Acer,6,1.301587302,0.020711025,3.178014567,0.463506075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Acer,8,1.211505922,0.019884035,3.21146899,0.502681464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Acer,5,1.342198582,0.022038777,3.242388572,0.455360302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Acer,6,1.329136691,0.021323289,3.120156128,0.473592988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Acer,4,1.358208955,0.023153144,2.965061321,0.440460711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Acer,5,1.382892057,0.016940635,1.948196369,0.687915142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Acer,8,1.30653951,0.01429655,1.934530484,0.645164211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Acer,3,1.430930931,0.011684787,1.888543731,0.676307642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Acer,5,1.306985294,0.015835955,1.984800357,0.690351527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Acer,3,1.380555556,0.012895451,2.113837947,0.633796284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Acer,6,1.385185185,0.015329871,2.013017433,0.640243498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Acer,10,1.383147854,0.013600475,2.00771195,0.677502609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Acer,9,1.247960848,0.014785439,2.09663069,0.654141311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Acer,9,1.206578947,0.013478492,2.073605065,0.644722292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Acer,7,1.199677939,0.014349176,1.995363581,0.678054995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Acer,45,1.058192956,0.012725146,1.839166711,0.748488005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Acer,40,1.112,0.01248197,1.735549243,0.763190759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Acer,38,1.012288786,0.013349947,1.843336842,0.74331494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Acer,37,1.084795322,0.013031877,2.067534372,0.717188174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Acer,49,1.005617978,0.011987877,1.970759013,0.746998865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Acer,45,1.104361371,0.012691447,1.829280349,0.747855887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Acer,33,1.032626427,0.013979449,1.990617096,0.725030133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Acer,31,1.057239057,0.01462655,2.074589845,0.716543271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Acer,37,1.053380783,0.015988843,2.199070677,0.72576467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Acer,41,1.019077901,0.013032596,1.914941415,0.758722328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Acer,76,1.161616162,0.009419344,1.749824348,0.857200955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Acer,58,1.133333333,0.01276018,1.802129968,0.829110174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Acer,77,1.064377682,0.010542404,1.938698975,0.812323876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Acer,84,1.109739369,0.009288091,1.745619384,0.852530581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Acer,93,1.005235602,0.010136122,1.925968233,0.81592101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Acer,74,1.086567164,0.010670363,1.842327914,0.84229724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Acer,76,1.123376623,0.011475301,1.87921617,0.838576334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Acer,92,1.153129161,0.008907236,1.772090299,0.860818783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Acer,72,1.105654762,0.010207474,1.84457153,0.841356447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Acer,75,1.012064343,0.009856695,1.759615355,0.849677641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Acer,65,1.084063047,0.034494114,2.984555756,0.487821227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Acer,63,1.011673152,0.031992458,2.399928167,0.560119359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Acer,63,1.16194332,0.026491729,2.58357529,0.513203475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Acer,49,1.0625,0.044820785,3.111637081,0.4742164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Acer,60,1.026272578,0.030735463,2.721257444,0.505330012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Acer,59,1.040935673,0.035556723,2.481650919,0.538021107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Acer,44,1.029574861,0.03558205,2.789330939,0.525148638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Acer,66,1.191208791,0.041507315,2.387711434,0.549223546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Acer,57,1.041666667,0.041242586,2.964566085,0.493158567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Acer,44,1.273607748,0.038303909,2.63408187,0.552647258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Alnus,35,1.414225941,0.009097551,1.405197606,0.967937012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Alnus,12,1.422604423,0.010834638,1.481842706,0.963043026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Alnus,18,1.351851852,0.009255483,1.41537084,0.971407171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Alnus,22,1.308390023,0.010278221,1.366439515,0.966463135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Alnus,17,1.461711712,0.010025218,1.486021938,0.953079637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Alnus,26,1.363106796,0.008501726,1.407339357,0.967525725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Alnus,15,1.428270042,0.009250096,1.411477508,0.9649225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Alnus,34,1.361616162,0.009022345,1.423226885,0.965255716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Alnus,27,1.423423423,0.009948085,1.488012981,0.956998089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Alnus,22,1.437379576,0.008281827,1.392922672,0.967313181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Alnus,50,1.463157895,0.016634638,1.604824805,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Alnus,61,1.545454545,0.016338602,1.548274525,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Alnus,69,1.5,0.016478053,1.575517453,0.914913176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Alnus,67,1.627118644,0.016526853,1.549375399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Alnus,79,1.766961652,0.016495127,1.543556258,0.918432114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Alnus,65,1.597765363,0.015139175,1.558642422,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Alnus,51,1.64265928,0.015632128,1.6276345,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Alnus,54,1.524193548,0.017848859,1.604070179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Alnus,63,1.543478261,0.015650942,1.591933101,0.91651185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Alnus,73,1.411609499,0.015869154,1.541786744,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Alnus,40,1.456,0.009620759,1.54135402,0.952509876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Alnus,23,1.284,0.009821656,1.458931753,0.957809038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Alnus,23,1.501176471,0.010771019,1.515600371,0.951161565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Alnus,46,1.493478261,0.01142869,1.637214218,0.930310639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Alnus,29,1.330039526,0.009864901,1.481205362,0.951978825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Alnus,33,1.455723542,0.010268654,1.514393586,0.959016355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Alnus,44,1.696145125,0.010667854,1.613472506,0.935330312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Alnus,25,1.383429672,0.009047864,1.44271041,0.953953718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Alnus,25,1.290909091,0.01029967,1.511757396,0.952087625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Alnus,26,1.5,0.011362671,1.514796346,0.947223058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Alnus,55,1.951219512,0.012269224,1.712771559,0.884615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Alnus,46,2.160714286,0.013753116,1.742222222,0.903089419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,Alnus,52,1.922746781,0.011889906,1.697252517,0.904812981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Alnus,45,2.19895288,0.013763922,1.734027204,0.905460988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Alnus,43,2.102484472,0.015130489,1.626408225,0.921431333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Alnus,39,2.107692308,0.016832937,1.697975776,0.897720513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Alnus,54,1.952914798,0.012589545,1.72204589,0.921309512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Alnus,53,1.98089172,0.011554283,1.686299866,0.921856428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Alnus,62,2.194647202,0.012802461,1.722741911,0.912185731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Alnus,63,2.095454545,0.012520915,1.744927761,0.907193816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Alnus,54,1.19266055,0.017986444,1.475119717,0.923499851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Alnus,76,1.252873563,0.017160453,1.512033245,0.925697654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Alnus,69,1.107238606,0.015915987,1.399453115,0.945264053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Alnus,50,1.21,0.01827818,1.40770424,0.942699925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Alnus,46,1.211038961,0.017480473,1.493105286,0.948200572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Alnus,42,1.321428571,0.017741095,1.420384436,0.941011955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Alnus,77,1.219047619,0.017667634,1.439109123,0.942062408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Alnus,76,1.310541311,0.016662587,1.463733036,0.932087778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Alnus,72,1.276162791,0.017874079,1.573919478,0.921648753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Alnus,66,1.341954023,0.016250387,1.48035197,0.937084787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Arundinaria,1,12.79674797,0.023947233,1.469487203,0.955084086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Arundinaria,2,7.807453416,0.019882694,1.53756211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Arundinaria,3,7.86163522,0.019409142,1.509810922,0.965909892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Arundinaria,1,12.24409449,0.023735826,1.501912708,0.964886115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Arundinaria,2,10.62773723,0.022261064,1.509333454,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Arundinaria,1,8.590909091,0.020300723,1.543324622,0.956663123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Arundinaria,2,11.21212121,0.022439555,1.476521227,0.954602033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Arundinaria,1,6.813953488,0.018341441,1.532259045,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Arundinaria,1,8.139240506,0.019906475,1.54497966,0.957362985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Arundinaria,1,9.231292517,0.020732262,1.512120982,0.943916402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Betula,82,1.983014862,0.010645939,1.603868997,0.947657689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Betula,79,1.87184874,0.010779841,1.617800089,0.933337394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Betula,49,1.838709677,0.011889683,1.47754171,0.949359693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Betula,68,1.754455446,0.009786326,1.547242365,0.948230941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Betula,68,2.083732057,0.011779301,1.562895201,0.950449442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Betula,69,1.885650224,0.011001514,1.604398895,0.937195689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Betula,66,1.913580247,0.01079471,1.597051684,0.951505687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Betula,67,1.941883768,0.009318171,1.568810733,0.941297514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Betula,74,1.87063655,0.010250168,1.612037861,0.935800391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Betula,64,2.015384615,0.011423369,1.623375107,0.937545803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Betula,27,1.609756098,0.028485274,1.980502371,0.820434278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Betula,22,1.451282051,0.029069394,1.774551418,0.844626462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Betula,17,1.349056604,0.027219006,1.809586343,0.83653181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Betula,15,1.467248908,0.024175453,1.856443168,0.849459547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Betula,28,1.197478992,0.024113232,1.663886572,0.886065483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Betula,24,1.31512605,0.024069208,1.732378317,0.85862499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Betula,20,1.407407407,0.029319808,1.74647398,0.861935643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Betula,18,1.28959276,0.023938407,1.655060963,0.890582777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Betula,16,1.393364929,0.026888715,1.793564056,0.863276115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Betula,22,1.361111111,0.027585811,1.821007656,0.817139488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Callicarpa,10,2.848275862,0.014375138,1.82191562,0.931343412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Callicarpa,3,2.455782313,0.013313958,1.614929893,0.951670734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Callicarpa,22,3.3671875,0.014864351,1.676966335,0.947468387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Callicarpa,16,3.37944664,0.015095651,1.634342229,0.929594268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Callicarpa,3,2.792114695,0.013552524,1.651075694,0.961772321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Callicarpa,3,2.7,0.013397536,1.607704343,0.959913147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,Callicarpa,2,3.200757576,0.014051059,1.698001187,0.951827607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Callicarpa,4,2.815884477,0.013464916,1.64270454,0.953967419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Callicarpa,3,3.393822394,0.014593489,1.731301855,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Callicarpa,6,3.037453184,0.01373572,1.646894632,0.956141476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Castanea,12,2.073170732,0.014334103,1.619265778,0.897121859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,Castanea,25,2.329741379,0.014072089,1.720705731,0.872926033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Castanea,33,2.357142857,0.015869014,1.756151485,0.861949793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Castanea,25,2.281632653,0.012328929,1.62278571,0.909506746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Castanea,22,2.650900901,0.013409487,1.639980543,0.882953172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Castanea,14,2.243902439,0.014585023,1.576804421,0.897751001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Castanea,33,2.401544402,0.012432282,1.610951808,0.893596254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Castanea,12,2.193258427,0.013404487,1.614038478,0.88711109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Castanea,19,2.901176471,0.012831748,1.628519485,0.882680499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
